start,end,cid,word,score_base,score_comb,dtw_cost,win
0,29,27,不見,0.29527992010116577,0.29527992010116577,,30
10,39,194,為甚麼,0.28602147102355957,0.28602147102355957,,30
20,49,300,鳥,0.25545209646224976,0.25545209646224976,,30
60,99,201,狗,0.2420579344034195,0.2420579344034195,,30
80,109,122,微笑,0.2947651147842407,0.2947651147842407,,30
90,169,200,牽,0.34933191537857056,0.34933191537857056,,30
165,244,51,公園,0.44844627380371094,0.44844627380371094,,30
230,289,203,玩,0.44989269971847534,0.44989269971847534,,30
270,319,144,放學,0.475602388381958,0.475602388381958,,30
305,334,61,動物(到處跑),0.2633095681667328,0.2633095681667328,,30
315,394,51,公園,0.45753979682922363,0.45753979682922363,,30
375,414,300,鳥,0.289862722158432,0.289862722158432,,30
405,444,201,狗,0.24154727160930634,0.24154727160930634,,30
425,474,165,朋友,0.39245909452438354,0.39245909452438354,,30
455,514,94,多,0.4450259208679199,0.4450259208679199,,30
500,539,144,放學,0.5265829563140869,0.5265829563140869,,30
520,549,108,家人,0.2754508852958679,0.2754508852958679,,30
535,564,240,花叢,0.2526487708091736,0.2526487708091736,,30
545,604,241,草地,0.5216519832611084,0.5216519832611084,,30
600,629,300,鳥,0.21204084157943726,0.21204084157943726,,30
610,679,58,到處跑,0.7682352662086487,0.7682352662086487,,30
660,689,61,動物(到處跑),0.6935043334960938,0.6935043334960938,,30
670,739,85,喘,0.6315703392028809,0.6315703392028809,,30
720,769,227,累,0.5275023579597473,0.5275023579597473,,30
750,789,240,花叢,0.25590068101882935,0.25590068101882935,,30
775,834,241,草地,0.4631150960922241,0.4631150960922241,,30
825,854,201,狗,0.24053122103214264,0.24053122103214264,,30
840,869,218,短毛,0.21135587990283966,0.21135587990283966,,30
850,909,265,趴(在草地上),0.6997997760772705,0.6997997760772705,,30
890,929,144,放學,0.3225952982902527,0.3225952982902527,,30
915,984,169,樹下,0.5814356803894043,0.5814356803894043,,30
970,999,201,狗,0.25809022784233093,0.25809022784233093,,30
985,1064,264,趴(在樹下),0.8627702593803406,0.8627702593803406,,30
1055,1084,144,放學,0.24909356236457825,0.24909356236457825,,30
1065,1164,123,微風吹,0.6272923350334167,0.6272923350334167,,30
1145,1194,217,睡覺,0.3483235538005829,0.3483235538005829,,30
1175,1264,239,舒服,0.33171623945236206,0.33171623945236206,,30
