start,end,cid,word,score_base,score_comb,dtw_cost,win
25,64,102,媽媽,0.2375296652317047,0.2375296652317047,,30
55,114,112,工作,0.4644738435745239,0.4644738435745239,,30
95,164,274,辛苦,0.4554121494293213,0.4554121494293213,,30
160,199,60,努力,0.22049717605113983,0.22049717605113983,,30
180,239,80,哥哥,0.3233802914619446,0.3233802914619446,,30
245,274,254,讀書,0.312460720539093,0.312460720539093,,30
255,284,184,洗臉,0.40569227933883667,0.40569227933883667,,30
270,349,60,努力,0.7093984484672546,0.7093984484672546,,30
330,359,149,早上,0.24388918280601501,0.24388918280601501,,30
380,409,57,再見,0.32419735193252563,0.32419735193252563,,30
405,444,102,媽媽,0.240830659866333,0.240830659866333,,30
435,484,80,哥哥,0.3609811067581177,0.3609811067581177,,30
465,514,101,姊姊,0.34201303124427795,0.34201303124427795,,30
500,539,185,洗衣服,0.2466985285282135,0.2466985285282135,,30
525,574,126,愛,0.6740052700042725,0.6740052700042725,,30
555,619,185,洗衣服,0.24440231919288635,0.24440231919288635,,30
