start,end,cid,word,score_base,score_comb,dtw_cost,win
0,39,230,給你,0.37655216455459595,0.37655216455459595,,30
5,34,230,給你,0.3694877624511719,0.3694877624511719,,30
10,39,230,給你,0.3034086227416992,0.3034086227416992,,30
15,44,231,給我,0.22777137160301208,0.22777137160301208,,30
20,59,242,菜,0.31887608766555786,0.31887608766555786,,30
25,54,242,菜,0.3073205053806305,0.3073205053806305,,30
30,59,242,菜,0.31887608766555786,0.31887608766555786,,30
35,64,242,菜,0.30478569865226746,0.30478569865226746,,30
40,69,243,菜市場,0.24339930713176727,0.24339930713176727,,30
45,114,243,菜市場,0.30697980523109436,0.30697980523109436,,30
50,79,243,菜市場,0.296326220035553,0.296326220035553,,30
55,84,243,菜市場,0.30697980523109436,0.30697980523109436,,30
60,89,243,菜市場,0.3039378821849823,0.3039378821849823,,30
65,94,243,菜市場,0.3009740710258484,0.3009740710258484,,30
70,99,243,菜市場,0.3004760146141052,0.3004760146141052,,30
75,104,243,菜市場,0.2905266284942627,0.2905266284942627,,30
80,109,243,菜市場,0.27871549129486084,0.27871549129486084,,30
85,114,243,菜市場,0.2708338797092438,0.2708338797092438,,30
90,119,243,菜市場,0.2517935037612915,0.2517935037612915,,30
95,154,166,東西,0.425988107919693,0.425988107919693,,30
100,129,166,東西,0.39622631669044495,0.39622631669044495,,30
105,134,166,東西,0.425988107919693,0.425988107919693,,30
110,139,166,東西,0.4029293358325958,0.4029293358325958,,30
115,144,166,東西,0.39018553495407104,0.39018553495407104,,30
120,149,166,東西,0.3714595139026642,0.3714595139026642,,30
125,154,166,東西,0.3242653012275696,0.3242653012275696,,30
130,159,29,九,0.24089643359184265,0.24089643359184265,,30
135,199,74,各式各樣,0.4226263165473938,0.4226263165473938,,30
140,169,74,各式各樣,0.40006858110427856,0.40006858110427856,,30
145,174,74,各式各樣,0.4226263165473938,0.4226263165473938,,30
150,179,74,各式各樣,0.42076992988586426,0.42076992988586426,,30
155,184,74,各式各樣,0.40952032804489136,0.40952032804489136,,30
160,189,74,各式各樣,0.41495513916015625,0.41495513916015625,,30
165,194,74,各式各樣,0.4087445139884949,0.4087445139884949,,30
170,199,74,各式各樣,0.3408935070037842,0.3408935070037842,,30
175,204,74,各式各樣,0.2773338258266449,0.2773338258266449,,30
190,239,40,今天,0.34354984760284424,0.34354984760284424,,30
195,224,40,今天,0.3184698522090912,0.3184698522090912,,30
200,229,40,今天,0.34354984760284424,0.34354984760284424,,30
205,234,40,今天,0.32627710700035095,0.32627710700035095,,30
210,239,40,今天,0.30270880460739136,0.30270880460739136,,30
215,244,40,今天,0.24106600880622864,0.24106600880622864,,30
220,249,40,今天,0.2293088734149933,0.2293088734149933,,30
225,254,30,九十元,0.2757583260536194,0.2757583260536194,,30
230,259,30,九十元,0.28102564811706543,0.28102564811706543,,30
235,264,154,昨天,0.303333580493927,0.303333580493927,,30
240,269,291,食物,0.23648661375045776,0.23648661375045776,,30
245,284,288,雞,0.23171202838420868,0.23171202838420868,,30
250,279,288,雞,0.2273554801940918,0.2273554801940918,,30
255,284,288,雞,0.20388838648796082,0.20388838648796082,,30
260,289,295,香菇雞湯,0.31782323122024536,0.31782323122024536,,30
265,294,295,香菇雞湯,0.47584980726242065,0.47584980726242065,,30
270,299,295,香菇雞湯,0.3507075905799866,0.3507075905799866,,30
275,304,294,香菇,0.3838534653186798,0.3838534653186798,,30
280,319,294,香菇,0.4169793426990509,0.4169793426990509,,30
285,314,294,香菇,0.4105791747570038,0.4105791747570038,,30
290,319,294,香菇,0.35836952924728394,0.35836952924728394,,30
295,324,294,香菇,0.25089606642723083,0.25089606642723083,,30
300,349,246,蛋,0.4348081350326538,0.4348081350326538,,30
305,334,246,蛋,0.40184497833251953,0.40184497833251953,,30
310,339,246,蛋,0.4348081350326538,0.4348081350326538,,30
315,344,246,蛋,0.4336303472518921,0.4336303472518921,,30
320,349,246,蛋,0.39151376485824585,0.39151376485824585,,30
325,354,246,蛋,0.26347655057907104,0.26347655057907104,,30
330,359,205,番茄,0.298520028591156,0.298520028591156,,30
335,394,205,番茄,0.5275868773460388,0.5275868773460388,,30
340,369,205,番茄,0.5019607543945312,0.5019607543945312,,30
345,374,205,番茄,0.5225622057914734,0.5225622057914734,,30
