start,end,cid,word,score_base,score_comb,dtw_cost,win
0,74,262,贏,0.32887551188468933,0.32887551188468933,,30
5,34,262,贏,0.31790292263031006,0.31790292263031006,,30
10,39,262,贏,0.3110888600349426,0.3110888600349426,,30
15,44,262,贏,0.3030892014503479,0.3030892014503479,,30
20,49,262,贏,0.3037523627281189,0.3037523627281189,,30
25,54,262,贏,0.3080163896083832,0.3080163896083832,,30
30,59,262,贏,0.3235779404640198,0.3235779404640198,,30
35,64,262,贏,0.32887551188468933,0.32887551188468933,,30
40,69,262,贏,0.3152313232421875,0.3152313232421875,,30
45,74,262,贏,0.2967289984226227,0.2967289984226227,,30
50,79,262,贏,0.2446027398109436,0.2446027398109436,,30
55,84,208,白,0.25799548625946045,0.25799548625946045,,30
60,89,131,我們兩個,0.24390335381031036,0.24390335381031036,,30
65,94,131,我們兩個,0.25873440504074097,0.25873440504074097,,30
70,99,131,我們兩個,0.20093145966529846,0.20093145966529846,,30
80,109,153,星期日,0.21470187604427338,0.21470187604427338,,30
85,114,210,盪鞦韆,0.250713050365448,0.250713050365448,,30
90,119,210,盪鞦韆,0.26977890729904175,0.26977890729904175,,30
95,124,93,坐下,0.3129020929336548,0.3129020929336548,,30
100,159,93,坐下,0.3284395635128021,0.3284395635128021,,30
105,134,93,坐下,0.3247159421443939,0.3247159421443939,,30
110,139,93,坐下,0.3264818489551544,0.3264818489551544,,30
115,144,93,坐下,0.3281109929084778,0.3281109929084778,,30
120,149,93,坐下,0.3284395635128021,0.3284395635128021,,30
125,154,93,坐下,0.3163427412509918,0.3163427412509918,,30
130,159,93,坐下,0.2982232868671417,0.2982232868671417,,30
135,164,250,見面,0.23030516505241394,0.23030516505241394,,30
145,174,203,玩,0.2275579869747162,0.2275579869747162,,30
150,179,203,玩,0.23183579742908478,0.23183579742908478,,30
155,184,279,運動,0.23136448860168457,0.23136448860168457,,30
160,204,279,運動,0.40869855880737305,0.40869855880737305,,30
165,194,279,運動,0.22908185422420502,0.22908185422420502,,30
170,199,279,運動,0.3217734694480896,0.3217734694480896,,30
175,204,279,運動,0.40869855880737305,0.40869855880737305,,30
180,209,279,運動,0.3968680500984192,0.3968680500984192,,30
185,214,279,運動,0.31649577617645264,0.31649577617645264,,30
190,219,68,原來,0.45311784744262695,0.45311784744262695,,30
195,224,68,原來,0.4051439166069031,0.4051439166069031,,30
200,229,78,告訴(牠),0.214615136384964,0.214615136384964,,30
205,264,5,一星期,0.5235612988471985,0.5235612988471985,,30
210,239,5,一星期,0.4026468098163605,0.4026468098163605,,30
